,书名,豆瓣链接,封面URL,作者,译者,出版社,出版日期,价格,评分,评分人数,一句话评价
118,人生的智慧,https://book.douban.com/subject/3261600/,https://img9.doubanio.com/view/subject/s/public/s4619775.jpg,(德)叔本华 , 韦启昌 , 上海人民出版社 , 2008-10-01 , 28.00元,9.2,34021,对世俗、实用问题深刻而透彻的讨论
119,西线无战事,https://book.douban.com/subject/35272817/,https://img1.doubanio.com/view/subject/s/public/s33779178.jpg,[德] 埃里希·玛丽亚·雷马克 , 姜乙 , 上海文艺出版社 , 2021-1 , 49,9.4,23605,
120,流俗地,https://book.douban.com/subject/35430425/,https://img3.doubanio.com/view/subject/s/public/s33884123.jpg,[马来西亚] 黎紫书 ,, 北京十月文艺出版社 , 2021-4-1 , 55.00元,9.2,24680,
121,鹿鼎记,https://book.douban.com/subject/1212893/,https://img1.doubanio.com/view/subject/s/public/s3134040.jpg,金庸 ,, 广州出版社 花城出版社 , 2008-3 , 108.00元,8.9,56736,武侠的解构，流氓的狂欢
122,斯通纳,https://book.douban.com/subject/26425831/,https://img2.doubanio.com/view/subject/s/public/s28332051.jpg,[美] 约翰·威廉斯 , 杨向荣 , 上海人民出版社 , 2016-1 , 49.00元,8.8,67073,即使不能拥有完美的生活，所幸追求过完整的自我
123,南京大屠杀,https://book.douban.com/subject/26545308/,https://img9.doubanio.com/view/subject/s/public/s28297426.jpg,[美]张纯如（Iris Chang） , 谭春霞 , 中信出版社 , 2015-8 , 49.00元,9.7,21501,
124,边城,https://book.douban.com/subject/1057244/,https://img3.doubanio.com/view/subject/s/public/s1595557.jpg,沈从文 ,, 北岳文艺出版社 , 2002-4 , 12.00元,8.7,234700,一切充满了善，然而到处是不凑巧
125,陆犯焉识,https://book.douban.com/subject/6880158/,https://img3.doubanio.com/view/subject/s/public/s6987353.jpg,严歌苓 ,, 作家出版社 , 2011-10 , 35.00元,8.9,58895,翻手为苍凉，覆手为繁华
126,额尔古纳河右岸,https://book.douban.com/subject/34432750/,https://img1.doubanio.com/view/subject/s/public/s34734949.jpg,迟子建 ,, 人民文学出版社 , 2019-6-1 , 32.00元,9.0,57932,
127,克莱因壶,https://book.douban.com/subject/33658616/,https://img3.doubanio.com/view/subject/s/public/s33317677.jpg,[日] 冈岛二人 , 张舟 , 化学工业出版社 , 2019-9 , 48.00元,8.8,74434,
128,十万个为什么,https://book.douban.com/subject/2160556/,https://img1.doubanio.com/view/subject/s/public/s2619779.jpg,,,少年儿童出版社 , 1962 , 30.00元,9.2,20695,
129,面纱,https://book.douban.com/subject/26757680/,https://img9.doubanio.com/view/subject/s/public/s28561075.jpg,[英] 威廉·萨默塞特·毛姆 , 于大卫 , 江西人民出版社 , 2016-4-1 , 39.8元,9.0,43882,
130,人间草木,https://book.douban.com/subject/1253310/,https://img1.doubanio.com/view/subject/s/public/s1201610.jpg,汪曾祺 ,, 江苏文艺出版社 , 2005-01 , 20.00元,9.2,34348,我就是要这样香，香得痛痛快快
131,梦里花落知多少,https://book.douban.com/subject/2070844/,https://img3.doubanio.com/view/subject/s/public/s2393243.jpg,三毛 ,, 北京十月文艺出版社 , 2007-6 , 28.00元,8.8,99218,哀而不伤
132,时间简史,https://book.douban.com/subject/1034282/,https://img2.doubanio.com/view/subject/s/public/s1914861.jpg,[英] 史蒂芬·霍金 , 许明贤 , 湖南科学技术出版社 , 2010-4 , 45.00元,8.9,63655,探索时间和空间的核心秘密
133,平面国,https://book.douban.com/subject/35170896/,https://img1.doubanio.com/view/subject/s/public/s33710398.jpg,[英] 埃德温·A.艾勃特 , 鲁冬旭 , 上海文化出版社 , 2020-8 , 39.80元,9.2,25936,
134,王尔德童话,https://book.douban.com/subject/1119839/,https://img9.doubanio.com/view/subject/s/public/s2019056.jpg,[英] 王尔德 , 王林 , 译林出版社 , 2003-6 , 6.00元,9.1,24694,一颗纯美纯善、永难泯灭的童心
135,我的天才女友,https://book.douban.com/subject/26878124/,https://img3.doubanio.com/view/subject/s/public/s29164777.jpg,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 2017-1 , 42.00元,8.7,122738,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争
136,13 67,https://book.douban.com/subject/25897884/,https://img1.doubanio.com/view/subject/s/public/s33699260.jpg,陳浩基 ,, 皇冠文化出版有限公司 , 2014-6-9 , NT$350,9.1,23468,
137,小径分岔的花园,https://book.douban.com/subject/25796120/,https://img1.doubanio.com/view/subject/s/public/s29746559.jpg,[阿根廷] 豪·路·博尔赫斯 , 王永年 , 上海译文出版社 , 2015-7 , 23.00,8.9,49848,一个谜语，谜底正是时间
138,这些人，那些事,https://book.douban.com/subject/6388661/,https://img2.doubanio.com/view/subject/s/public/s6828981.jpg,吴念真 ,, 译林出版社 , 2011-9 , 28.00元,8.8,68390,平淡叙述下的惊心动魄
139,金色梦乡,https://book.douban.com/subject/5038409/,https://img9.doubanio.com/view/subject/s/public/s4444885.jpg,[日] 伊坂幸太郎 , 李彦桦 , 译林出版社 , 2010-9 , 35.00元,9.0,31886,伊坂幸太郎代表作
140,昨日的世界,https://book.douban.com/subject/27615361/,https://img9.doubanio.com/view/subject/s/public/s29786716.jpg,[奥] 斯特凡·茨威格 , 徐友敬 , 上海译文出版社 , 2018-7 , 49.00元,9.4,16639,
141,一句顶一万句,https://book.douban.com/subject/3633461/,https://img1.doubanio.com/view/subject/s/public/s6916838.jpg,刘震云 ,, 长江文艺出版社 , 2009-3 , 29.80,8.8,90249,一句胜过千年
142,地下室手记,https://book.douban.com/subject/34990839/,https://img3.doubanio.com/view/subject/s/public/s33638812.jpg,(俄罗斯) 陀思妥耶夫斯基 , 曾思艺 , 浙江文艺出版社 , 2020-5 , 39.8,9.2,28684,
143,你当像鸟飞往你的山,https://book.douban.com/subject/33440205/,https://img9.doubanio.com/view/subject/s/public/s33492346.jpg,塔拉·韦斯特弗 , 任爱红 , 南海出版公司 , 2019-10 , 59.00元,8.7,201122,我来自一个极少有人能想象的家庭，教育给了我新世界
144,绿毛水怪,https://book.douban.com/subject/3518332/,https://img9.doubanio.com/view/subject/s/public/s3675595.jpg,王小波 ,, 时代文艺出版社 , 2009-1 , 30.00元,9.1,26022,我们好象在池塘的水底，从一个月亮走向另一个月亮
145,2001：太空漫游,https://book.douban.com/subject/30471298/,https://img2.doubanio.com/view/subject/s/public/s32330891.jpg,[英] 阿瑟·克拉克 , 郝明义 , 上海文艺出版社 , 2019-4-10 , 62.00元,9.3,23726,
146,檀香刑,https://book.douban.com/subject/26905337/,https://img1.doubanio.com/view/subject/s/public/s33562530.jpg,莫言 ,, 浙江文艺出版社 , 2017-1 , 56.00元,9.3,35279,
147,故事,https://book.douban.com/subject/25976544/,https://img1.doubanio.com/view/subject/s/public/s27598249.jpg,[美] 罗伯特·麦基 , 周铁东 , 天津人民出版社 , 2014-9 , 68.00元,9.2,20358,材质、结构、风格和银幕剧作的原理
148,海的女儿,https://book.douban.com/subject/1765512/,https://img9.doubanio.com/view/subject/s/public/s4133656.jpg,安徒生 , 叶君健 , 上海译文出版社 , 1978年6月 , 0.43,9.1,25406,
149,鹿川有许多粪,https://book.douban.com/subject/35517022/,https://img3.doubanio.com/view/subject/s/public/s33968312.jpg,李沧东 , 春喜 , 武汉大学出版社 , 2021-8 , 58.00元,8.9,36912,
150,经济学原理（上下）,https://book.douban.com/subject/1028842/,https://img9.doubanio.com/view/subject/s/public/s1785715.jpg,[美] 曼昆 , 梁小民 , 机械工业出版社 , 2003-8 , 88.00元,9.1,22826,经济学家们的世界观
151,安娜·卡列尼娜,https://book.douban.com/subject/2253380/,https://img1.doubanio.com/view/subject/s/public/s5763939.jpg,[俄] 列夫·托尔斯泰 , 草婴 , 上海文艺出版社 , 2007-8 , 37.00元,9.2,31825,
152,长日将尽,https://book.douban.com/subject/30142261/,https://img1.doubanio.com/view/subject/s/public/s29738720.jpg,[英] 石黑一雄 , 冯涛 , 上海译文出版社 , 2018-5 , 48,8.9,39856,
153,國史大綱（上下）,https://book.douban.com/subject/1046492/,https://img9.doubanio.com/view/subject/s/public/s6795555.jpg,錢穆 ,, 商务印书馆 , 2013-8 , 76.00元,9.4,16814,钱穆中国通史
154,阿勒泰的角落,https://book.douban.com/subject/4881850/,https://img1.doubanio.com/view/subject/s/public/s6185540.jpg,李娟 ,, 万卷出版公司 , 2010-6 , 25.00元,9.1,22698,白雪和阳光，青草和白桦林
155,强风吹拂,https://book.douban.com/subject/26210487/,https://img1.doubanio.com/view/subject/s/public/s27914268.jpg,三浦紫苑 , 林佩瑾 , 广西师范大学出版社 , 2015-1-1 , 39.00元,9.0,30067,明明这么痛苦，这么难过，为什么就是不能放弃跑步？
156,一个陌生女人的来信,https://book.douban.com/subject/2154960/,https://img1.doubanio.com/view/subject/s/public/s2611329.jpg,[奥] 斯蒂芬·茨威格 , 张玉书 , 上海译文出版社 , 2007-7 , 20.00元,8.7,149849,暗恋的极致
157,明亮的夜晚,https://book.douban.com/subject/36457094/,https://img3.doubanio.com/view/subject/s/public/s34577743.jpg,[韩]崔恩荣 , 叶蕾 , 台海出版社 , 2023-8 , 52,9.0,36122,
158,万水千山走遍,https://book.douban.com/subject/1036490/,https://img3.doubanio.com/view/subject/s/public/s1099483.jpg,三毛 ,, 哈尔滨出版社 , 2003-08 , 13.80,8.9,47083,从遥远的撒哈拉到敦煌戈壁
159,苏菲的世界,https://book.douban.com/subject/2284311/,https://img1.doubanio.com/view/subject/s/public/s3042670.jpg,[挪] 乔斯坦·贾德 , 萧宝森 , 作家出版社 , 2007-10 , 26.00元,8.8,60464,哲学启蒙书
160,史蒂夫·乔布斯传,https://book.douban.com/subject/6798611/,https://img3.doubanio.com/view/subject/s/public/s6974202.jpg,[美] 沃尔特·艾萨克森 , 管延圻 , 中信出版社 , 2011-10-24 , 68.00元,8.8,62523,完美主义者的最高形态
161,爱的艺术,https://book.douban.com/subject/3026879/,https://img9.doubanio.com/view/subject/s/public/s2990934.jpg,[美] 艾·弗洛姆 , 李健鸣 , 上海译文出版社 , 2008-4 , 15.00元,8.8,52261,谦恭地、勇敢地、真诚地和有纪律地爱他人
162,草房子,https://book.douban.com/subject/1052990/,https://img1.doubanio.com/view/subject/s/public/s2652540.jpg,曹文轩 ,, 江苏少年儿童出版社 , 2009-6 , 18.00元,9.0,56400,男孩桑桑刻骨铭心、终身难忘的六年小学生活
163,德米安,https://book.douban.com/subject/3578470/,https://img2.doubanio.com/view/subject/s/public/s5988251.jpg,[德] 赫尔曼·黑塞 , 丁君君 , 上海人民出版社 , 2009-3 , 25.00元,8.9,40448,少年辛克莱寻找通向自身之路的艰辛历程
164,半生缘,https://book.douban.com/subject/10757938/,https://img1.doubanio.com/view/subject/s/public/s10199588.jpg,张爱玲 ,, 北京十月文艺出版社 , 2012-6-1 , 29.60元,9.1,34476,
165,我不知道该说什么，关于死亡还是爱情,https://book.douban.com/subject/25884880/,https://img3.doubanio.com/view/subject/s/public/s28313152.jpg,[白俄] S·A·阿列克谢耶维奇 , 方祖芳 , 花城出版社 , 2014-6-15 , 34.80元,9.2,20798,真实记录切尔诺贝利核灾难事件
166,球状闪电,https://book.douban.com/subject/1192090/,https://img9.doubanio.com/view/subject/s/public/s26040205.jpg,刘慈欣 ,, 四川科学技术出版社 , 2005-6 , 22.00元,8.7,91319,量子之外，没有真相
167,恶意,https://book.douban.com/subject/26877752/,https://img9.doubanio.com/view/subject/s/public/s29827014.jpg,[日] 东野圭吾 , 娄美莲 , 南海出版公司 , 2016-11 , 39.50元,8.7,140765,
168,亮剑,https://book.douban.com/subject/1088022/,https://img3.doubanio.com/view/subject/s/public/s1513433.jpg,都梁 ,, 解放军文艺出版社 , 2005-3 , 28.00元,9.0,32213,面对强大的对手，明知不敌，也要毅然亮剑
169,温柔的夜,https://book.douban.com/subject/2068249/,https://img1.doubanio.com/view/subject/s/public/s2391798.jpg,三毛 ,, 北京十月文艺出版社 , 2007-5 , 28.00元,9.1,24344,三毛在加纳利群岛的生活
170,霸王别姬,https://book.douban.com/subject/1088711/,https://img9.doubanio.com/view/subject/s/public/s24964086.jpg,李碧华 ,, 人民文学出版社 , 1999-1 , 10.20元,9.1,23157,人间，只是抹去了脂粉的脸
171,全球通史(上),https://book.douban.com/subject/1922216/,https://img2.doubanio.com/view/subject/s/public/s28330151.jpg,[美]斯塔夫里阿诺斯 , 吴象婴 , 北京大学出版社 , 2006-1-10 , 42.00,9.2,19816,
172,不能承受的生命之轻,https://book.douban.com/subject/4920007/,https://img3.doubanio.com/view/subject/s/public/s4421443.jpg,米兰·昆德拉 , 许钧 , 上海译文出版社 , 2010-8 , 29.00元,8.8,48555,
173,翦商,https://book.douban.com/subject/36096304/,https://img1.doubanio.com/view/subject/s/public/s34385069.jpg,李硕 ,, 广西师范大学出版社 , 2022-10 , 99.00元,9.0,32371,
174,冰与火之歌,https://book.douban.com/subject/25826936/,https://img9.doubanio.com/view/subject/s/public/s27218035.jpg,[美]乔治·R.R.马丁 , 谭光磊 , 重庆出版社 , 2013-10-1 , 330.00元,9.5,19827,乔治·R·R·马丁史诗奇幻小说
175,古文观止,https://book.douban.com/subject/1014561/,https://img3.doubanio.com/view/subject/s/public/s1325863.jpg,吴楚材 ,, 中华书局 , 1987-1-1 , 21.00元,9.1,19559,收录自先秦至明末的散文二百二十二篇
176,我的阿勒泰,https://book.douban.com/subject/4884218/,https://img1.doubanio.com/view/subject/s/public/s6180859.jpg,李娟 ,, 云南人民出版社 , 2010-7 , 25.00元,8.9,31171,描写疆北阿勒泰地区生活和风情的原生态散文集
177,生死疲劳,https://book.douban.com/subject/35587028/,https://img1.doubanio.com/view/subject/s/public/s34086258.jpg,莫言 ,, 浙江文艺出版社 , 2022-1 , 69.90元,9.0,48713,
178,天朝的崩溃,https://book.douban.com/subject/25935941/,https://img9.doubanio.com/view/subject/s/public/s27685036.jpg,茅海建 ,, 生活·读书·新知三联书店 , 2014-10 , 59.00元,9.4,15428,
179,麦琪的礼物,https://book.douban.com/subject/1051193/,https://img2.doubanio.com/view/subject/s/public/s1137441.jpg,[美] 欧·亨利 , 张经浩 , 上海社会科学院出版社 , 2003-7 , 25.00元,8.7,77245,日常的奇迹
180,倾城之恋,https://book.douban.com/subject/10757940/,https://img3.doubanio.com/view/subject/s/public/s10205753.jpg,张爱玲 ,, 北京十月文艺出版社 , 2012-6-1 , 29.80元,8.9,42075,
181,东晋门阀政治,https://book.douban.com/subject/10758290/,https://img9.doubanio.com/view/subject/s/public/s10206185.jpg,田余庆 ,, 北京大学出版社 , 2012-5 , 49.00元,9.5,14799,
182,社会心理学,https://book.douban.com/subject/1476651/,https://img3.doubanio.com/view/subject/s/public/s1670932.jpg,[美] 戴维·迈尔斯 , 张智勇 , 人民邮电出版社 , 2006-1 , 68.00元,9.0,27739,人们是如何思索、影响他人并与他人建立联系的
183,激荡三十年（上）,https://book.douban.com/subject/1970428/,https://img1.doubanio.com/view/subject/s/public/s10431840.jpg,吴晓波 ,, 中信出版社 浙江人民出版社 , 2007-1 , 35.00,8.8,32779,这是一个最好的时代，也是一个最坏的时代
184,我也有一个梦想,https://book.douban.com/subject/1014825/,https://img9.doubanio.com/view/subject/s/public/s2170315.jpg,林达 ,, 生活·读书·新知三联书店 , 2004-08 , 25.00元,9.0,16409,在法治国家里，民众怎样运用法律
185,一桩事先张扬的凶杀案,https://book.douban.com/subject/24382569/,https://img1.doubanio.com/view/subject/s/public/s26546959.jpg,[哥伦比亚] 加西亚·马尔克斯 , 魏然 , 南海出版公司 , 2013-6 , 25.00元,8.7,56079,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯
186,海风中失落的血色馈赠,https://book.douban.com/subject/26357614/,https://img2.doubanio.com/view/subject/s/public/s28061231.jpg,[加拿大] 阿利斯泰尔·麦克劳德 , 陈以侃 , 上海文艺出版社 , 2015-6-1 , CNY 20.00,9.0,21654,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟
187,亲密关系（第6版）,https://book.douban.com/subject/26585065/,https://img3.doubanio.com/view/subject/s/public/s34340992.jpg,[美] 罗兰·米勒 (Rowland S. Miller) , 王伟平 译 , 人民邮电出版社 , 2015-6 , 138.00元,9.2,28521,
188,天生有罪,https://book.douban.com/subject/30125030/,https://img3.doubanio.com/view/subject/s/public/s29675003.jpg,[南非] 特雷弗·诺亚 , 董帅 , 北京联合出版公司 , 2018-2-1 , 58.00,9.0,22128,
189,大明王朝1566,https://book.douban.com/subject/26925171/,https://img9.doubanio.com/view/subject/s/public/s29249996.jpg,刘和平 ,, 花城出版社 , 2016-7 , 88.00元,9.5,14400,
190,雕刻时光,https://book.douban.com/subject/26435510/,https://img2.doubanio.com/view/subject/s/public/s28622011.jpg,[苏] 安德烈·塔可夫斯基 , 张晓东 , 南海出版公司 , 2016-5 , 45.00元,9.5,10006,
191,情书,https://book.douban.com/subject/1080370/,https://img9.doubanio.com/view/subject/s/public/s1127135.jpg,[日] 岩井俊二 , 穆晓芳 , 天津人民出版社 , 2004-7 , 18.00元,8.6,109515,一场同名同姓的误会，两段可贵的爱情
192,李光耀观天下,https://book.douban.com/subject/26413154/,https://img3.doubanio.com/view/subject/s/public/s28095832.jpg,李光耀 ,, 北京大学出版社 , 2015-6 , 58.00元,9.2,15705,
193,在细雨中呼喊,https://book.douban.com/subject/20421947/,https://img3.doubanio.com/view/subject/s/public/s29032782.jpg,余华 ,, 作家出版社 , 2012-11-1 , 25.00元,8.8,80366,
194,万物有灵且美,https://book.douban.com/subject/4187411/,https://img9.doubanio.com/view/subject/s/public/s4093514.jpg,[英] 吉米·哈利 , 种衍伦 , 中国城市出版社 , 2010-1 , 28.80,8.9,23744,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事
195,理想国,https://book.douban.com/subject/1004821/,https://img1.doubanio.com/view/subject/s/public/s34157889.jpg,[古希腊] 柏拉图 , 郭斌和 , 商务印书馆 , 1986-8 , 28.00元,8.8,38817,人类历史上最早的乌托邦
196,骆驼祥子,https://book.douban.com/subject/1043815/,https://img1.doubanio.com/view/subject/s/public/s1146040.jpg,老舍 ,, 人民文学出版社 , 1962-10-1 , 12.00元,8.6,214147,旧中国老北京贫苦市民的典型命运
197,雷雨,https://book.douban.com/subject/1013416/,https://img3.doubanio.com/view/subject/s/public/s23579217.jpg,曹禺 ,, 人民文学出版社 , 1999-05 , 9.20,8.7,81072,一幕人生大悲剧，在一个雷雨夜爆发
198,从零开始的女性主义,https://book.douban.com/subject/35523099/,https://img3.doubanio.com/view/subject/s/public/s33984963.jpg,[日本] 上野千鹤子 , 吕灵芝 , 北京联合出版公司 , 2021-9 , 52.00元,8.7,71653,
199,一千零一夜,https://book.douban.com/subject/1035848/,https://img3.doubanio.com/view/subject/s/public/s1070937.jpg,纳训 ,, 人民文学出版社 , 2003-01 , 22.00,8.8,60580,阿拉伯地区的古代民间传说
200,倚天屠龙记,https://book.douban.com/subject/1070851/,https://img9.doubanio.com/view/subject/s/public/s34097535.jpg,金庸 ,, 生活·读书·新知三联书店 , 1999-04 , 47.00,8.7,63535,不识张郎是张郎
201,水浒传（全二册）,https://book.douban.com/subject/1008357/,https://img1.doubanio.com/view/subject/s/public/s1436519.jpg,[明] 施耐庵 ,, 人民文学出版社 , 1997-1 , 50.60元,8.7,80490,替天行道
202,尼罗河上的惨案,https://book.douban.com/subject/1818347/,https://img3.doubanio.com/view/subject/s/public/s1683067.jpg,[英] 阿加莎·克里斯蒂 , 宫英海 , 人民文学出版社 , 2006-5 , 22.00元,8.7,51502,阿加莎·克里斯蒂代表作
203,九州·缥缈录,https://book.douban.com/subject/1321017/,https://img1.doubanio.com/view/subject/s/public/s1520169.jpg,江南 ,, 新世界出版社 , 2005-6 , 20.00元,8.8,32315,乱世的英雄史诗
204,足利女童连续失踪事件,https://book.douban.com/subject/35776315/,https://img2.doubanio.com/view/subject/s/public/s34249411.jpg,[日] 清水洁 , 曾玉婷 , 文汇出版社 , 2022-7 , 49.00元,9.0,25385,
205,雨季不再来,https://book.douban.com/subject/2136140/,https://img1.doubanio.com/view/subject/s/public/s2563279.jpg,三毛 ,, 北京十月文艺出版社 , 2007-7 , 28.00元,8.8,56547,三毛少女时代的成长感受
206,送你一颗子弹,https://book.douban.com/subject/4238362/,https://img3.doubanio.com/view/subject/s/public/s4243447.jpg,刘瑜 ,, 上海三联书店 , 2010-1 , 25.00元,8.6,144897,在这本书里，被“审视”的东西杂七杂八
207,罗生门,https://book.douban.com/subject/3136271/,https://img1.doubanio.com/view/subject/s/public/s3435158.jpg,[日] 芥川龙之介 , 林少华 , 上海译文出版社 , 2008-7 , 12.00元,8.7,72622,人生，远比地狱更像地狱
208,荒原狼,https://book.douban.com/subject/3131626/,https://img1.doubanio.com/view/subject/s/public/s3286369.jpg,[德]赫尔曼·黑塞 , 赵登荣 , 上海译文出版社 , 2008-7 , 13.00,9.0,24581,“超现实主义”风格作品，德国的《尤利西斯》
209,孙子兵法,https://book.douban.com/subject/1949420/,https://img1.doubanio.com/view/subject/s/public/s2142329.jpg,孙武 , 郭化若 , 上海古籍出版社 , 2006-7 , 20.00元,9.4,14256,我国最古老最杰出的一部兵书
210,孩子你慢慢来,https://book.douban.com/subject/4207781/,https://img9.doubanio.com/view/subject/s/public/s4124434.jpg,龙应台 ,, 生活·读书·新知三联书店 , 2009-12-1 , 28.00元,8.7,80960,我们现在怎样做母亲
211,最好的我们,https://book.douban.com/subject/24754316/,https://img9.doubanio.com/view/subject/s/public/s26720726.jpg,八月长安 ,, 湖南文艺出版社 , 2013-8-5 , 55,8.8,73858,耿耿余淮
212,父权制与资本主义,https://book.douban.com/subject/34896921/,https://img3.doubanio.com/view/subject/s/public/s35012802.jpg,[日] 上野千鹤子 , 邹韵 , 浙江大学出版社 , 2020-3 , 58.00元,9.2,19505,
213,当呼吸化为空气,https://book.douban.com/subject/26896859/,https://img3.doubanio.com/view/subject/s/public/s29423902.jpg,[美] 保罗·卡拉尼什 , 何雨珈 , 浙江文艺出版社 , 2016-12 , 48.00元,8.9,30786,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气
214,银河帝国：基地七部曲,https://book.douban.com/subject/26389895/,https://img9.doubanio.com/view/subject/s/public/s28284246.jpg,[美] 艾萨克·阿西莫夫 , 叶李华 , 江苏凤凰文艺出版社 , 2015-10-1 , 328.00元,9.5,17073,阿西莫夫经典科幻小说
215,浮生六记,https://book.douban.com/subject/1088581/,https://img9.doubanio.com/view/subject/s/public/s2280094.jpg,（清）沈复 ,, 人民文学出版社 , 1999-1 , 38,8.7,72615,苟不记之笔墨，未免有辜彼苍之厚
216,帷幕,https://book.douban.com/subject/26292535/,https://img3.doubanio.com/view/subject/s/public/s27988902.jpg,[英]阿加莎·克里斯蒂 , 李杨 , 新星出版社 , 2015-2 , 26.00,9.1,17934,
217,不存在的骑士,https://book.douban.com/subject/6789551/,https://img2.doubanio.com/view/subject/s/public/s8972061.jpg,[意] 伊塔洛·卡尔维诺 , 吴正仪 , 译林出版社 , 2012-4 , 22.00元,8.9,26980,
218,野火集,https://book.douban.com/subject/1426971/,https://img1.doubanio.com/view/subject/s/public/s1469589.jpg,龙应台 ,, 文汇出版社 , 2005-8 , 25.00元,8.7,35543,中国人，你为什么不生气
219,庄子,https://book.douban.com/subject/2046236/,https://img9.doubanio.com/view/subject/s/public/s5765615.jpg,孙通海 译注 , 孙通海  译注 , 中华书局 , 2007-04 , 20.00元,9.4,12575,野马也，尘埃也，生物之以息相吹也
220,渴望生活,https://book.douban.com/subject/3054821/,https://img1.doubanio.com/view/subject/s/public/s3099438.jpg,[美] 欧文·斯通 , 常涛 , 北京十月文艺出版社 , 2008-4 , 29.80元,9.1,12050,梵高悲惨而成就辉煌的人生
221,跨越边界的社区（修订版）,https://book.douban.com/subject/30116399/,https://img2.doubanio.com/view/subject/s/public/s29673011.jpg,项飙 ,, 生活·读书·新知三联书店 , 2018-3 , 68.00元,9.5,10497,
222,你好，旧时光（上 下）,https://book.douban.com/subject/4166819/,https://img3.doubanio.com/view/subject/s/public/s4293097.jpg,八月长安 ,, 新世界出版社 , 2009-12 , 39.80元,8.7,50316,原作名切题
223,包法利夫人,https://book.douban.com/subject/25897678/,https://img1.doubanio.com/view/subject/s/public/s34356439.jpg,福楼拜 , 李健吾 , 人民文学出版社 , 2003-1-1 , CNY 28.00,9.1,26255,
224,银河系漫游指南,https://book.douban.com/subject/1394364/,https://img1.doubanio.com/view/subject/s/public/s3696740.jpg,[英] 道格拉斯·亚当斯 , 徐百柯 , 四川科学技术出版社 , 2005-6 , 16.00元,8.8,23075,一场穿越银河的冒险
225,现代艺术150年,https://book.douban.com/subject/26854318/,https://img9.doubanio.com/view/subject/s/public/s29417056.jpg,[英] 威尔·贡培兹 , 王烁 , 广西师范大学出版社 , 2017-3 , 65.00元,9.1,15483,
226,论语,https://book.douban.com/subject/1964774/,https://img9.doubanio.com/view/subject/s/public/s5804746.jpg,刘胜利 ,, 中华书局 , 2006-12 , 9.80元,9.1,24957,仁远乎哉？我欲仁，斯仁至矣
227,你一生的故事,https://book.douban.com/subject/26295448/,https://img9.doubanio.com/view/subject/s/public/s28033064.jpg,[美] 特德·姜 , 李克勤 , 译林出版社 , 2015-5 , 36.00元,8.7,37815,特德·姜科幻小说集
228,看不见的女性,https://book.douban.com/subject/35942057/,https://img9.doubanio.com/view/subject/s/public/s34274534.jpg,卡罗琳·克里亚多·佩雷斯 , 詹涓 , 新星出版社 , 2022-8 , 69.00元,9.2,17859,在专为男性设计的世界该如何生存和改变？
229,会饮篇,https://book.douban.com/subject/21570668/,https://img3.doubanio.com/view/subject/s/public/s25807032.jpg,[古希腊] 柏拉图 , 王太庆 , 商务印书馆 , 2013-1 , 12.00元,9.3,12489,
230,金锁记,https://book.douban.com/subject/3017857/,https://img9.doubanio.com/view/subject/s/public/s2976745.jpg,张爱玲 ,, 哈尔滨出版社 , 2005-6 , 13.5元,8.6,64552,一个小商人家庭出身的女子曹七巧的心灵变迁历程
231,解忧杂货店,https://book.douban.com/subject/25862578/,https://img2.doubanio.com/view/subject/s/public/s27264181.jpg,[日] 东野圭吾 , 李盈春 , 南海出版公司 , 2014-5 , 39.50元,8.5,767617,现代人内心流失的东西，这家杂货店能帮你找回
232,显微镜下的大明,https://book.douban.com/subject/30414743/,https://img2.doubanio.com/view/subject/s/public/s29960161.jpg,马伯庸 ,, 湖南文艺出版社 , 2019-1 , 52.00元,8.7,49719,
233,分成两半的子爵,https://book.douban.com/subject/10555486/,https://img3.doubanio.com/view/subject/s/public/s8972073.jpg,[意] 伊塔洛·卡尔维诺 , 吴正仪 , 译林出版社 , 2012-4-1 , 20.00元,8.8,30570,
234,挽救计划,https://book.douban.com/subject/35494160/,https://img9.doubanio.com/view/subject/s/public/s33958826.jpg,[美] 安迪·威尔 , 耿辉 , 译林出版社 , 2021-9 , 68.00,9.1,13515,
235,象棋的故事,https://book.douban.com/subject/2158684/,https://img1.doubanio.com/view/subject/s/public/s2897060.jpg,[奥] 斯蒂芬·茨威格 , 张玉书 , 上海译文出版社 , 2007-7 , 23.00元,9.1,13499,纳粹法西斯对人心灵的折磨及摧残
236,坟,https://book.douban.com/subject/1974029/,https://img1.doubanio.com/view/subject/s/public/s2128420.jpg,鲁迅 ,, 人民文学出版社 , 2006-12 , 16.00元,9.6,12863,
237,黑箱：日本之耻,https://book.douban.com/subject/30484795/,https://img9.doubanio.com/view/subject/s/public/s30025945.jpg,[日] 伊藤诗织 , 匡匡 , 雅众文化,中信出版集团 , 2019-4 / 48.00元,8.9,24283,
